SystemName,FarmName,SensorType
Walkerview Farm Temperature System,Walkerview Farm,Temperature
Walkerview Farm Humidity System,Walkerview Farm,Humidity
Walkerview Farm Light System,Walkerview Farm,Light
Walkerview Farm PH System,Walkerview Farm,PH
Dianeport Orchard Temperature System,Dianeport Orchard,Temperature
Dianeport Orchard Humidity System,Dianeport Orchard,Humidity
Dianeport Orchard Light System,Dianeport Orchard,Light
Dianeport Orchard PH System,Dianeport Orchard,PH
Paulfort Greenhouse Temperature System,Paulfort Greenhouse,Temperature
Paulfort Greenhouse Humidity System,Paulfort Greenhouse,Humidity
Paulfort Greenhouse Light System,Paulfort Greenhouse,Light
Paulfort Greenhouse PH System,Paulfort Greenhouse,PH
Larryville Greenhouse Temperature System,Larryville Greenhouse,Temperature
Larryville Greenhouse Humidity System,Larryville Greenhouse,Humidity
Larryville Greenhouse Light System,Larryville Greenhouse,Light
Larryville Greenhouse PH System,Larryville Greenhouse,PH
Greenport Greenhouse Temperature System,Greenport Greenhouse,Temperature
Greenport Greenhouse Humidity System,Greenport Greenhouse,Humidity
Greenport Greenhouse Light System,Greenport Greenhouse,Light
Greenport Greenhouse PH System,Greenport Greenhouse,PH
